QCM_REFID,MIC,MIC_DESC,UOM,MIN_VALUE,MAX_VALUE,nir_yes,nir_no,nir_foss,surveyor,IDNLF,FIELD_MAP,input_type,DeductionSpec
3043,C3-P,Protein,%,12.5,15.5,Yes,No,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,protein_quality,T,NULL
3044,IW5-MO,Moisture,%,10,11,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,moisture_quality,T,11
3045,C2-AH,Ash,%,1.4,1.9,Yes,No,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,ash_quality,T,NULL
3046,C4-WG,Wet gluten %,%,31,39,Yes,No,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,wet_gluten_quality,T,NULL
3047,C5-DG,Dry gluten %,%,10,14,No,No,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,dry_gluten_quality,T,NULL
3048,C6-SV,SV,ml,24,30,No,No,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,sv_quality,T,NULL
3049,IW6-HL,HL,%,76,80,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,hl_quality,T,76
3050,P14-1K,1000 kernel,%,36,39,Yes,Yes,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,kernel_quality,T,NULL
3051,P13-2.3M,2.3MM,%,1.5,5,Yes,Yes,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,mm_quality,T,NULL
3052,P2-FM,Foreign matter,%,0.1,0.5,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,foreign_matter_quality,T,0.5
3053,P3-MB,Mudballs,%,0,0.15,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,mudballs_quality,T,0.15
3054,P4-BO,Broken wheat,%,1,5,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,broken_wheat_quality,T,NULL
3055,P5-BW,Black wheat,%,1,2,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,black_wheat_quality,T,2
3056,P6-SW,Soft wheat,%,15,30,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,soft_wheat_quality,T,30
3057,P7-SH,Shriveled wheat,%,1,4,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,shriveled_wheat_quality,T,NULL
3058,P8-IW,Immature wheat,%,1,3,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,immature_wheat_quality,T,3
3059,P9-IS,Insect damage wheat,%,0,0.2,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,insect_damage_wheat_quality,T,0.2
3060,IW4-MW,Mixed Wheat,NULL,NO,NULL,Yes,No,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,mixed_wheat_quality,D,NULL
3061,P10-KB,Kernel bunt,%,0,0.01,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,kernel_bunt_quality,T,NULL
3062,P11-OFG,OFG,%,0,0.5,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,ofg_quality,T,NULL
3063,IW1-IS,Infestation,NULL,NO,NULL,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,infestation_quality,D,NO
3064,IW2-FG,Fungus,NULL,NO,NULL,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,fungus_quality,D,NULL
3065,IW3-RD,Rain Damage,NULL,NO,NULL,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,rain_damage_quality,D,NULL
3066,C3-PT,Protein Type,NULL,LP,NULL,Yes,No,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,protein_type_quality,D,NULL
3067,C7-FN,FN,NULL,NO,NULL,No,No,Yes,No,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,fn_quality,D,NULL
3068,P12-RG,Red Grain,%,0,0.01,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,red_grain_quality,T,NULL
3069,P15-RG,PD Durum Wheat,%,0,0,Yes,Yes,Yes,Yes,MAHARASHTRA-SHRIRAMPUR-LUSTER LOSS,PD_durum_wheat,T,0
