ZVA_NUMBER,DRIVER_NO,TRUCK_NO,PLANT_NAME,"STORAGE LOCATION",ZPO_NUMBER,PO_LINE_ITEM,WheatVariety,ReceivingBin,BulkSiloNo,Moisture,HLWeight,FM,Dust,BadSmell,Infestation,SeiveSize,Wetgluten,Drygluten,Protein,FirstWeight,SecondWeight,NetWeight,GateIN,GateOut,"Receiving GateIN","Receiving Gateout"
RMIASSIL2100000097,8963257410,TN01230,1111,STORAGELOCATION,PO1, PO1  -1 , WHEAT  VARIETY ,BIN1,1,,,,,,,,,,,100,200,100, 20-09-2021  05:05  PM , 20-09-2021  05:36  PM , 20-09-2021  05:44  PM ,
RMIASSIL2100000098,7845123690,TN789789,1111,STORAGELOCATION,PO1, PO1  -1 , WHEAT  VARIETY ,BIN1,3,,,,,,,,,,,100,250,150, 20-09-2021  05:53  PM , 21-09-2021  02:33  PM , 21-09-2021  02:40  PM ,
RMIASSIL2100000099,8547963210,TN78978911,1111,STORAGELOCATION,PO1, PO1  -1 , WHEAT  VARIETY ,BIN1,3,,,,,,,,,,,100,500,400,, 22-09-2021  09:12  AM , 22-09-2021  09:13  AM ,
RMIASSIL2100000101,8956231470,TN784569,1111,STORAGELOCATION,PO1, PO1  -1 , WHEAT  VARIETY ,BIN2,2,,,,,,,,,,,1000,1500,500, 22-09-2021  09:39  AM , 22-09-2021  10:10  AM , 22-09-2021  10:14  AM ,
RMIASSIL2100000118,5471236980,TR12123,1111,STORAGELOCATION,PO1, PO1  -2 , WHEAT  VARIETY ,BIN1,2,,,,,,,,,,,1000,5000,4000,, 07-10-2021  02:34  PM , 07-10-2021  02:38  PM ,
RMIASSIL2100000119,7708111324,TN57BD6555,1111,STORAGELOCATION,PO1, PO1  -1 , WHEAT  VARIETY ,BIN1,1,,,,,,,,,,,10000,15000,5000,, 08-10-2021  01:43  PM , 08-10-2021  01:44  PM ,
RMIASSIL2100000120,8547963210,TR4567,1111,AL01,PO1, PO1  -1 ,123,BIN1,1,,,,,,,,,,,100,5000,4900,, 08-10-2021  02:44  PM , 08-10-2021  03:10  PM ,
RMIASSIL2100000126,8569741230,TR234234,1111,AL01,PO1, PO1  -1 ,123,BIN1,1,,,,,,,,,,,100,5000,4900,, 12-10-2021  02:00  PM , 12-10-2021  02:01  PM ,
RMIASSIL2100000128,7708111326,TN69NL3443,1111,1111,17000035,10,TEST,BIN2,2,,,,,,,,,,,10000,18000,8000,, 14-10-2021  12:41  PM , 14-10-2021  12:43  PM ,
RMIASSIL2100000130,7867786700,TN76NL8998,1111,1111,17000035,10,TEST,BIN2,1,,,,,,,,,,,1000,15000,14000,, 15-10-2021  04:47  PM , 15-10-2021  04:47  PM ,
